Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1786655069619,1299,741,1300,1300,1300,1300,1299,1299,16,20,8.333333969116211,13.043478012084961,12,8.69565200805664,12,12.5,0,197540.0616455078,44765.33526611328,18699.92333984375,8095244288,4294963200,6253019136,3532201984
100,1786655069619,1299,741,1300,1300,1300,1300,1299,1299,16,20,8.333333969116211,13.043478012084961,12,8.69565200805664,12,12.5,0,197540.06665039063,44765.336975097656,18699.92333984375,8095244288,4294963200,6253019136,3532201984
99,1786655069719,1299,741,1300,1300,1300,1300,1299,1299,16,20,8.333333969116211,13.043478012084961,12,8.69565200805664,12,12.5,0,197540.42138671875,44765.38409423828,18699.92333984375,8095244288,4294963200,6253010944,3532201984
100,1786655069819,1299,741,1300,1300,1300,1300,1299,1299,5,9.523809432983398,18.18181800842285,14.285715103149414,5,9.523809432983398,0,5,0,197540.8388671875,44765.48907470703,18699.92333984375,8095244288,4294963200,6253240320,3532201984
99,1786655069919,1299,741,1300,1300,1300,1300,1299,1299,5,9.523809432983398,18.18181800842285,14.285715103149414,5,9.523809432983398,0,5,0,197541.1898803711,44765.53778076172,18699.92333984375,8095244288,4294963200,6253240320,3532201984
99,1786655070019,1299,741,1300,1300,1300,1300,1299,1299,5,5.263157844543457,15.789472579956055,4.761904716491699,0,5,5,5.263157844543457,0,197541.57092285156,44765.614196777344,18699.92333984375,8095244288,4294963200,6253494272,3532201984
99,1786655070119,1299,741,1300,1300,1300,1300,1299,1299,5,5.263157844543457,15.789472579956055,4.761904716491699,0,5,5,5.263157844543457,0,197542.14276123047,44765.87023925781,18699.92333984375,8095244288,4294963200,6256840704,3532193792
99,1786655070219,1299,741,1300,1300,1300,1300,1299,1299,26.3157901763916,30.000001907348633,90,10.526315689086914,10,15.000000953674316,15.000000953674316,19.047618865966797,0,197542.6509399414,44766.05975341797,18699.924682617188,8095244288,4294963200,6257520640,3532189696
99,1786655070320,1299,741,1300,1300,1300,1300,1299,1299,26.3157901763916,30.000001907348633,90,10.526315689086914,10,15.000000953674316,15.000000953674316,19.047618865966797,0,197543.13482666016,44766.21276855469,18699.93487548828,8095244288,4294963200,6264795136,3532189696
99,1786655070420,1299,741,1300,1300,1300,1300,1299,1299,5.555555820465088,10,30.000001907348633,23.809524536132813,15.000000953674316,5.555555820465088,10.526315689086914,10.526315689086914,0,197543.5609741211,44766.32043457031,18699.94171142578,8095244288,4294963200,6267138048,3532189696
